RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote
R130*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R131*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R132*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R133*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R134*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R135*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R136*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R137*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R138*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R139*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R140*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R141*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R142*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R143*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
R144*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; 
VD1;Диод;BAV23; ; ; ; ;NXP; ; ; ; ;200; ;Прочие изделия; 
XP1;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; 
XP2;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; 
XP3;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; 
XP4;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; 
XP5;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; 
