RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote
R29;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R30;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R31;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R32;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R33;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R34;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R35;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R36;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R37;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R38;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R39;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R40;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R41;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R42;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R43;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R44;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R45;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R46;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R47;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
