RefDes         ;Name           ;Part Number;PartNumberRU                                                    ;Value     ;TU GOST   ;PartDocument                  ;Manufacturer                    ;Unplaced        ;Case            ;TCx             ;PowerRating     ;Voltage         ;ReplacementPN                                                   ;SpecSection                     ;BomNote         ;Tolerance 
C39            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C40            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C41            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C42            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C43            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C44            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C45            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C46            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C47            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C48            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C49            ;               ;           ;                                                                ;18        ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C50            ;               ;           ;                                                                ;18        ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C51            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C52            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C53            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C54            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C55            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C56            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C57            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C58            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C59            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C60            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C61            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C62            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C63            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C64            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C65            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C66            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C67            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C68            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C69            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
