RefDes         ;Name           ;Part Number;PartNumberRU                                                    ;Value     ;TU GOST   ;PartDocument                  ;Manufacturer                    ;Unplaced        ;Case            ;TCx             ;PowerRating     ;Voltage         ;ReplacementPN                                                   ;SpecSection                     ;BomNote         ;Tolerance 
C153           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C154           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C155           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C156           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C157           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C158           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C159           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C160           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C161           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C162           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C163           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C164           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C165           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C166           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C167           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C168           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C169           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C170           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C171           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C172           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C173           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C174           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C175           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C176           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C177           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C178           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C179           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C180           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C181           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C182           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C183           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C184           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C185           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C186           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C187           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C188           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C189           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C190           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C191           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C192           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C193           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C194           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C195           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C196           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C197           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C198           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C199           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C200           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C201           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C202           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C203           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C204           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C205           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C206           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C207           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C208           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C209           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C210           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C211           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C212           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C213           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C214           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C215           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C216           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C217           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C218           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C219           ;               ;           ;                                                                ;18        ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C220           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C221           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C222           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C223           ;               ;           ;                                                                ;18        ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C224           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C225           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C226           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C227           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C228           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C229           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C230           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C231           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C232           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C233           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C234           ;               ;           ;                                                                ;0,039 לך  ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C235           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C236           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C237           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C238           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C239           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C240           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C241           ;               ;           ;                                                                ;10 לך     ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
C242           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C243           ;               ;           ;                                                                ;18        ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C244           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C245           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C246           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C247           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C248           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C249           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C250           ;               ;           ;                                                                ;4,7 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;10        
C251           ;               ;           ;                                                                ;18        ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C252           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C253           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C254           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C255           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C256           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
DA1            ;               ;           ;                                                                ;          ;          ;                              ;NXP                             ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
DA2            ;               ;           ;                                                                ;          ;          ;                              ;Linear                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
DD1            ;               ;           ;                                                                ;          ;          ;                              ;Texas Instruments               ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
DD2            ;               ;           ;                                                                ;          ;          ;                              ;Texas Instruments               ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
DD3            ;               ;           ;                                                                ;          ;          ;                              ;Linear                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
DD4            ;               ;           ;                                                                ;          ;          ;                              ;Marvell                         ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
DD5            ;               ;           ;                                                                ;          ;          ;                              ;Atmel                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
