RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote;Tolerance
C63;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C64;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C65;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C66;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C67;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C68;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C69;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C70;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C71;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C72;Чип конденсатор;C1206C102KGRAC; ;1000; ; ;Vishay; ;1206;X7R; ; ; ;Прочие изделия; ;10
C73;Чип конденсатор;C1206C102KGRAC; ;1000; ; ;Vishay; ;1206;X7R; ; ; ;Прочие изделия; ;10
C74;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C75;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C76;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C77;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C78;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C79;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C80;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C81;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C82;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C83;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C84;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C85;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C86;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C87;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C88;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C89;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C90;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C91;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C92;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C93;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C94;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C95;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C96;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C97;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C98;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C99;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C100;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C101;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C102;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C103;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C104;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C105;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C106;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C107;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C108;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C109;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C110;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C111;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C112;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C113;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C114;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C115;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
